lab,document_slug,release_date,framework,declared_level,declared_level_numeric,source_quote,confidence
openai,openai_gpt4_system_card,2023-03-14,PF,Critical,4,max PF level matched in card text,real (regex on raw card text)
anthropic,anthropic_claude2_card,2023-07-11,ASL,pre-RSP,0,max ASL level matched in card text,real (no match found)
google,google_gemini_report,2023-12-06,FSF,pre-FSF,0,max FSF level matched in card text,real (no match found)
google,google_gemini_1_5_report,2024-02-15,FSF,pre-FSF,0,max FSF level matched in card text,real (no match found)
anthropic,anthropic_model_card,2024-03-04,ASL,ASL-3,3,max ASL level matched in card text,real (regex on raw card text)
anthropic,anthropic_35_addendum,2024-06-20,ASL,ASL-3,3,max ASL level matched in card text,real (regex on raw card text)
openai,openai_gpt4o_system_card,2024-08-08,PF,High,3,max PF level matched in card text,real (regex on raw card text)
anthropic,anthropic_35h_addendum,2024-10-22,ASL,ASL-3,3,max ASL level matched in card text,real (regex on raw card text)
openai,openai_o1_system_card,2024-12-05,PF,High,3,max PF level matched in card text,real (regex on raw card text)
google,google_gemini_2_card,2024-12-11,FSF,pre-FSF,0,max FSF level matched in card text,real (no match found)
openai,openai_operator_card,2025-01-23,PF,High,3,max PF level matched in card text,real (regex on raw card text)
openai,openai_o3mini_card,2025-02-10,PF,High,3,max PF level matched in card text,real (regex on raw card text)
anthropic,anthropic_37_card,2025-02-24,ASL,ASL-4,4,max ASL level matched in card text,real (regex on raw card text)
openai,openai_gpt45_system_card,2025-02-27,PF,High,3,max PF level matched in card text,real (regex on raw card text)
google,google_gemini_25_pro_card,2025-03-25,FSF,pre-FSF,0,max FSF level matched in card text,real (no match found)
google,google_gemini_25_card,2025-04-09,FSF,pre-FSF,0,max FSF level matched in card text,real (no match found)
openai,openai_o3_system_card,2025-04-16,PF,High,3,max PF level matched in card text,real (regex on raw card text)
anthropic,anthropic_claude4_card,2025-05-22,ASL,ASL-4,4,max ASL level matched in card text,real (regex on raw card text)
google,google_gemini_25dt_card,2025-08-01,FSF,pre-FSF,0,max FSF level matched in card text,real (no match found)
anthropic,anthropic_opus41_card,2025-08-05,ASL,ASL-4,4,max ASL level matched in card text,real (regex on raw card text)
openai,openai_gpt5_system_card,2025-08-07,PF,High,3,max PF level matched in card text,real (regex on raw card text)
anthropic,anthropic_sonnet45_card,2025-09-29,ASL,ASL-4,4,max ASL level matched in card text,real (regex on raw card text)
anthropic,anthropic_haiku45_card,2025-10-15,ASL,ASL-4,4,max ASL level matched in card text,real (regex on raw card text)
openai,openai_gpt51_system_card,2025-11-12,PF,High,3,max PF level matched in card text,real (regex on raw card text)
google,google_gemini_3_pro_card,2025-11-18,FSF,pre-FSF,0,max FSF level matched in card text,real (no match found)
anthropic,anthropic_opus45_card,2025-11-24,ASL,ASL-4,4,max ASL level matched in card text,real (regex on raw card text)
openai,openai_gpt52_system_card,2025-12-15,PF,High,3,max PF level matched in card text,real (regex on raw card text)
google,google_gemini_3_card,2025-12-15,FSF,pre-FSF,0,max FSF level matched in card text,real (no match found)
openai,openai_gpt53_codex_card,2026-01-20,PF,Critical,4,max PF level matched in card text,real (regex on raw card text)
anthropic,anthropic_sonnet46_card,2026-02-15,ASL,ASL-4,4,max ASL level matched in card text,real (regex on raw card text)
google,google_gemini_31_pro_card,2026-02-20,FSF,pre-FSF,0,max FSF level matched in card text,real (no match found)
anthropic,anthropic_opus46_card,2026-03-20,ASL,ASL-4,4,max ASL level matched in card text,real (regex on raw card text)
anthropic,anthropic_mythos_card,2026-04-08,ASL,ASL-3,3,max ASL level matched in card text,real (regex on raw card text)
openai,openai_gpt55_system_card,2026-04-23,PF,Critical,4,max PF level matched in card text,real (regex on raw card text)
