document_slug,lab,release_date,year,register,evidence_phrase,confidence
openai_gpt4_system_card,openai,2023-03-14,2023,threshold,threshold=3 > reassurance=0,real (phrase-list classifier on raw card text)
anthropic_claude2_card,anthropic,2023-07-11,2023,reassurance,"reassurance=1 >= threshold=0, hedging=0",real (phrase-list classifier on raw card text)
meta_llama2_card,meta,2023-07-18,2023,threshold,threshold=3 > reassurance=0,real (phrase-list classifier on raw card text)
mistral_7b_model_card,mistral,2023-09-27,2023,reassurance,no signals — defaulting to reassurance,real (phrase-list classifier on raw card text)
google_gemini_report,google,2023-12-06,2023,threshold,threshold=3 > reassurance=0,real (phrase-list classifier on raw card text)
meta_llamaguard_card,meta,2023-12-07,2023,reassurance,no signals — defaulting to reassurance,real (phrase-list classifier on raw card text)
google_gemini_1_5_report,google,2024-02-15,2024,threshold,threshold=2 > reassurance=0,real (phrase-list classifier on raw card text)
anthropic_model_card,anthropic,2024-03-04,2024,threshold,threshold=9 > reassurance=4,real (phrase-list classifier on raw card text)
mistral_mixtral_model_card,mistral,2024-04-17,2024,reassurance,no signals — defaulting to reassurance,real (phrase-list classifier on raw card text)
meta_llama3_model_card,meta,2024-04-18,2024,reassurance,no signals — defaulting to reassurance,real (phrase-list classifier on raw card text)
mistral_codestral_blog,mistral,2024-05-29,2024,reassurance,no signals — defaulting to reassurance,real (phrase-list classifier on raw card text)
anthropic_35_addendum,anthropic,2024-06-20,2024,threshold,threshold=4 > reassurance=1,real (phrase-list classifier on raw card text)
meta_llama3_paper,meta,2024-07-23,2024,threshold,threshold=6 > reassurance=0,real (phrase-list classifier on raw card text)
meta_llama31_card,meta,2024-07-23,2024,threshold,threshold=2 > reassurance=0,real (phrase-list classifier on raw card text)
mistral_large_2_blog,mistral,2024-07-24,2024,reassurance,no signals — defaulting to reassurance,real (phrase-list classifier on raw card text)
openai_gpt4o_system_card,openai,2024-08-08,2024,threshold,threshold=18 > reassurance=0,real (phrase-list classifier on raw card text)
meta_llama32_card,meta,2024-09-25,2024,threshold,threshold=11 > reassurance=0,real (phrase-list classifier on raw card text)
meta_llamaguard3_card,meta,2024-09-25,2024,reassurance,no signals — defaulting to reassurance,real (phrase-list classifier on raw card text)
anthropic_35h_addendum,anthropic,2024-10-22,2024,threshold,threshold=3 > reassurance=1,real (phrase-list classifier on raw card text)
openai_o1_system_card,openai,2024-12-05,2024,threshold,threshold=25 > reassurance=0,real (phrase-list classifier on raw card text)
meta_responsible_use,meta,2024-12-06,2024,threshold,threshold=2 > reassurance=0,real (phrase-list classifier on raw card text)
google_gemini_2_card,google,2024-12-11,2024,threshold,threshold=2 > reassurance=0,real (phrase-list classifier on raw card text)
openai_operator_card,openai,2025-01-23,2025,threshold,threshold=4 > reassurance=0,real (phrase-list classifier on raw card text)
mistral_small_3_blog,mistral,2025-01-30,2025,reassurance,"reassurance=1 >= threshold=0, hedging=0",real (phrase-list classifier on raw card text)
mistral_small_3_hf_card,mistral,2025-01-30,2025,reassurance,"reassurance=1 >= threshold=0, hedging=0",real (phrase-list classifier on raw card text)
openai_o3mini_card,openai,2025-02-10,2025,threshold,threshold=28 > reassurance=0,real (phrase-list classifier on raw card text)
anthropic_37_card,anthropic,2025-02-24,2025,hedging,hedging=2 hits,real (phrase-list classifier on raw card text)
openai_gpt45_system_card,openai,2025-02-27,2025,threshold,threshold=13 > reassurance=0,real (phrase-list classifier on raw card text)
google_gemini_25_pro_card,google,2025-03-25,2025,hedging,hedging=3 hits,real (phrase-list classifier on raw card text)
meta_llama4_card,meta,2025-04-05,2025,threshold,threshold=3 > reassurance=0,real (phrase-list classifier on raw card text)
google_gemini_25_card,google,2025-04-09,2025,threshold,threshold=2 > reassurance=0,real (phrase-list classifier on raw card text)
openai_o3_system_card,openai,2025-04-16,2025,threshold,threshold=5 > reassurance=0,real (phrase-list classifier on raw card text)
anthropic_claude4_card,anthropic,2025-05-22,2025,hedging,hedging=7 hits,real (phrase-list classifier on raw card text)
google_gemini_25dt_card,google,2025-08-01,2025,hedging,hedging=6 hits,real (phrase-list classifier on raw card text)
anthropic_opus41_card,anthropic,2025-08-05,2025,hedging,hedging=6 hits,real (phrase-list classifier on raw card text)
openai_gpt5_system_card,openai,2025-08-07,2025,hedging,hedging=2 hits,real (phrase-list classifier on raw card text)
